network_code, station_code, excl_start_date, excl_end_date
AU, ARMA, 2005-07-04, 2005-08-30
AU, HTT, 2010-10-08, 2011-01-05
AU, KAKA, 2005-07-23, 2006-01-04
AU, KAKA, 2007-10-14, 2007-12-14
AU, KMBL, 2016-08-24, 2016-08-24
AU, MEEK, 2003-08-21, 2003-10-08
AU, MOO, 2005-10-21, 2005-12-11
AU, MOO, 2015-01-08, 2015-03-14
AU, MUN, 2006-10-03, 2006-10-31
AU, RKGY, 2004-09-06, 2005-01-02
AU, RKGY, 2005-09-06, 2006-02-24
AU, RMQ, 2006-07-31, 2006-11-05
AU, RMQ, 2010-11-16, 2011-01-07
AU, WC1, 2016-01-27, 2017-03-07
AU, YNG, 2011-06-14, 2011-10-21
